DATE,ER VOICE TRAFFIC   2G /3G,ER BUSY TRAFFIC 2G/3G,ZTE VOICE TRAFFIC 2G/3G,ZTE BUSY TRAFFIC 2G/3G,VLR COUNT,SITE COUNT 2G/3G/4G,TCS SITE COUNT,DATA VOL 2G(GB),DATA VOL 3G(GB),DATA VOL ZTE 4G(GB),DATA VOL TCS 4G(GB),DATA VLR 2G,DATA VLR 3G,DATA VLR ZTE 4G,DATA VLR TCS 4G,VOLTE TRAFFIC ZTE,VOLTE TRAFFIC TCS
29-04-2024,1459/841,135/57,50421/39231,4248/3231,894623,1226/1122/150,,290,33202.6,3413.4,,41155,98014,8583,,413.4,
30-04-2024,1571/750,163/60,50282/39306,4118/3206,901780,1226/1122/150,,290,33147.6,3309.7,,40422,98683,8270,,402.73,
01-05-2024,1615/787,143/63,49279/38456,4182/3161,566243,1226/1122/150,,283,34615.7,3389.8,,38255,98838,8383,,388.259,
02-05-2024,1607/887,155/82,51205/39678,4267/3304,598677,1226/1122/150,,302,35124.6,3531.1,,38255,98838,8383,,410.91,
03-05-2024,1661/939,157/81,50193/39137,4212/3192,629991,1226/1122/150,,317,35758.8,3616,,38255,98838,8383,,435.25,
04-05-2024,1508/929,141/78,50383/39100,4196/3215,648519,1226/1122/150,,307,35824.1,3784.6,,41148,99276,8680,,430.06,
05-05-2024,1505/890,153/77,47451/35195,4089/2975,662714,1226/1122/150,,297,35816.9,3696.7,,41450,98663,8583,,387.48,
06-05-2024,1398/900,115/72,50341/39177,4252/3165,671866,1226/1122/150,,311,35162.9,3772.2,,41783,100517,8885,,435.3,
07-05-2024,1466/886,136/69,49157/37369,4001/2901,685967,1226/1122/150,,328,34384.5,3639.8,,44637,97747,8615,,406.6,
08-05-2024,1503/933,134/74,50686/38782,4285/3268,699339,1226/1122/150,,328,34073.4,3550.4,,44051,99472,8814,,449.6,
09-05-2024,1416/759,126/65,50473/37051,4347/3002,711865,1226/1122/150,,347,34495,3272.3,,44488,97311,8532,,290.8,
10-05-2024,1565/895,100/66,50878/37810,4292/3121,723672,1226/1122/150,,365,34738.4,3272.3,,44047,99105,8839,,400,
11-05-2024,1377/853,116/67,50397/35995,4116/2930,736677,1226/1122/150,,381,34150.6,3272.3,,45802,97150,9477,,371.5,
12-05-2024,1597/846,151/66,48971/34292,4281/2914,745251,1226/1122/150,,339,35408.7,3272.3,,44010,96587,9177,,378.6,
13-05-2024,1365/856,111/75,50736/39629,4402/3247,754435,1226/1122/150,,332,33856.1,3644.9,,43036,97479,9464,,370.4,
14-05-2024,1541/987,147/72,51183/39261,4242/3157,763599,1226/1122/150,,335,34748,3703.1,,43326,98943,9485,,389.3,
15-05-2024,1387/938,128/85,50601/38952,4349/3201,775802,1226/1122/150,,321,34778.5,3736,,43788,99853,9125,,400.6,
