BA,OA,District,Village/Site,Village Code,Site ID,AT-3 Date,LOT 
Ranchi,HZB,KODERMA,Bhitia,350001,UVJHHZB00299,01-May-24,LOT-9
Dhanbad,DMK,PAKUR,Chhotadandupahar / Bada Bhagbhitha,359885,UVJHDMK00633,04-Jun-24,LOT-9
Dhanbad,DMK,PAKUR,BARAKUSKUTA,360085,UVJHDMK00538,05-Jun-24,LOT-9
Dhanbad,DNB,BOKARO,Jamni Jara,362325,UVJHDNB00041,23-Apr-24,LOT-9
Ranchi,RCH,KHUNTI,Ulung,375009,UVJHRCH00375,06-Jun-24,LOT-9
Ranchi,RCH,Gumla,Pithartoli,376356,UVJHRCH00197,09-Apr-24,LOT-9
Ranchi,RCH,SIMDEGA,Dom Toli,376627,UVJHRCH00093,22-Apr-24,LOT-9
Ranchi,RCH,LOHARDAGA,Putrar,362937,UVJHRCH00368,17-May-24,LOT-9
Ranchi,RCH,LOHARDAGA,Kerar,362908,UVJHRCH00366,17-May-24,LOT-9
Ranchi,DTJ,LATEHAR,Naina,367026,UVJHDTJ00310,23-Apr-24,LOT-9
Ranchi,DTJ,LATEHAR,Durup,367027,UVJHDTJ00309,22-May-24,LOT-9
Dhanbad,DMK,SAHEBGANJ,MURI(BARA),358911,UVJHDMK00564,25-May-24,LOT-9
Dhanbad,DMK,DUMKA,Asanbani,371643,UVJHDMK00288,13-May-24,LOT-9
Dhanbad,DMK,DUMKA,Bando,371649,UVJHDMK00453,13-May-24,LOT-9
Ranchi,RCH,KHUNTI,Koa,375369,UVJHRCH00254,20-May-24,LOT-9
Ranchi,RCH,KHUNTI,Sareyad,375377,UVJHRCH00265,20-May-24,LOT-9
Ranchi,DTJ,PALAMU,Kulhaia,365246,UVJHDTJ00348,11-May-24,LOT-9
Ranchi,RCH,KHUNTI,MASANGA,375431,UVJHRCH00405,20-May-24,LOT-9
Ranchi,HZB,HAZARIBAGH,Kajea/Manatu,368715,UVJHHZB00254,19-Mar-24,LOT-9
Ranchi,DTJ,PALAMU,Ajania,365401,UVJHDTJ00264,11-May-24,LOT-9
Jamshedpur,JSR,SARAIKELA-KHARSAWAN,Korra,378624,UVJHJSR00304,16-May-24,LOT-9
